round,name,count,localCount,workload,estWorkload,npts,nfdpts
3,28,63,18,1.40052e+06,3.2158e+06,61025,240
3,29,71,21,1.877e+06,3.12326e+06,80586,1973
3,30,63,15,1.08182e+06,3.15819e+06,46082,2312
3,31,72,18,1.21485e+06,2.85183e+06,84357,51
4,0,89,35,835563,2.17509e+06,79670,628
4,1,30,6,978982,2.05416e+06,24442,2229
4,2,22,6,999204,2.18093e+06,15220,341
4,3,41,9,1.13549e+06,2.47291e+06,29759,360
4,4,151,63,1.64154e+06,2.28965e+06,200289,24032
4,5,35,8,1.29407e+06,2.29764e+06,38425,14068
4,6,58,16,876094,2.26227e+06,49835,219
4,7,46,8,1.97319e+06,2.31363e+06,40144,983
4,8,21,4,1.25247e+06,2.29898e+06,14695,707
4,9,43,11,1.41384e+06,2.25472e+06,37825,1524
4,10,16,7,1.43635e+06,2.28973e+06,26118,8335
4,11,47,15,995607,2.25631e+06,42596,1538
4,12,76,21,1.2364e+06,2.25967e+06,74104,625
4,13,31,9,799350,2.39272e+06,25186,799
4,14,25,9,839861,2.26102e+06,56537,35156
4,15,64,15,1.39477e+06,2.33286e+06,46094,372
4,16,55,12,756768,2.27616e+06,38522,198
4,17,30,10,552959,2.44906e+06,31960,728
4,18,50,10,983751,2.27967e+06,31410,259
4,19,46,11,1.71535e+06,2.27216e+06,35147,1007
4,20,66,20,1.06689e+06,2.35893e+06,72603,1199
4,21,80,20,1.60923e+06,2.29732e+06,62062,1313
4,22,22,7,1.44039e+06,2.53714e+06,20895,3414
4,23,60,20,682670,2.32141e+06,47222,2730
4,24,55,21,936903,2.29796e+06,66327,7072
4,25,41,11,1.4276e+06,2.15579e+06,35573,3133
4,26,50,14,1.1834e+06,2.34529e+06,65436,1258
4,27,112,34,1.6018e+06,2.28572e+06,122490,2805
4,28,66,17,1.35626e+06,2.33769e+06,61849,233
4,29,78,21,1.75033e+06,2.44166e+06,87870,941
4,30,64,20,1.26158e+06,2.27784e+06,58137,2636
4,31,79,22,1.43583e+06,2.30428e+06,93099,128
5,0,33,8,1.20975e+06,1.93206e+06,29629,1769
5,1,37,12,1.27758e+06,1.86389e+06,33862,1832
5,2,57,14,1.31313e+06,1.91333e+06,50932,297
5,3,23,7,926172,1.92193e+06,15404,292
5,4,168,66,1.5429e+06,1.93652e+06,179331,19579
5,5,30,7,912945,1.78929e+06,42069,14234
5,6,50,14,806762,1.95898e+06,40532,226
5,7,31,5,1.78151e+06,2.0357e+06,32115,930
5,8,31,8,763557,1.83953e+06,22426,821
5,9,19,4,1.44638e+06,1.90808e+06,13610,816
5,10,27,10,1.16749e+06,1.72512e+06,24199,7530
5,11,55,17,982481,1.87001e+06,44131,1504
5,12,74,21,1.03134e+06,1.8877e+06,62131,388
5,13,54,14,1.09032e+06,1.91938e+06,65114,1023
5,14,32,11,936924,2.06763e+06,62405,37600
5,15,64,14,1.01119e+06,1.81641e+06,39150,336
5,16,56,16,861742,2.01873e+06,46139,159
5,17,36,11,612033,1.82623e+06,31721,656
5,18,59,12,1.0688e+06,1.91621e+06,34722,620
5,19,49,11,1.18648e+06,1.56773e+06,34562,651
5,20,104,38,819136,1.91958e+06,76389,573
5,21,66,16,1.66966e+06,1.89441e+06,51974,1420
5,22,24,6,1.20313e+06,1.82592e+06,16726,2927
5,23,58,21,668334,1.81883e+06,43556,3447
5,24,51,20,874285,1.80699e+06,64232,6593
5,25,54,12,1.30998e+06,1.91388e+06,47753,2211
5,26,57,17,1.01525e+06,1.9266e+06,59043,764
5,27,125,34,1.51888e+06,1.82535e+06,120416,1224
5,28,40,10,1.3847e+06,2.01717e+06,37143,514
5,29,69,17,1.65403e+06,1.9069e+06,63057,1811
5,30,66,21,1.1092e+06,1.97469e+06,57140,1749
5,31,69,18,1.0826e+06,1.84242e+06,68958,68
6,0,28,6,1.09117e+06,1.69743e+06,20359,1180
6,1,33,10,1.09259e+06,1.73921e+06,25601,2037
6,2,55,12,1.0682e+06,1.58893e+06,37283,304
6,3,45,12,1.22398e+06,1.64505e+06,31531,2214
6,4,161,62,1.2932e+06,1.70172e+06,147693,15318
6,5,29,7,898516,1.53609e+06,35004,14068
6,6,83,22,1.20622e+06,1.60246e+06,79938,42
6,7,31,4,1.71392e+06,1.76091e+06,22117,988
6,8,49,17,947202,1.6905e+06,43768,1542
6,9,21,5,1.0408e+06,1.58146e+06,14355,444
6,10,71,21,1.10638e+06,1.59528e+06,52563,2469
6,11,53,12,1.10199e+06,1.46855e+06,34806,576
6,12,77,23,1.0755e+06,1.60617e+06,64632,263
6,13,54,14,1.07848e+06,1.62694e+06,66542,906
6,14,32,11,830530,1.80413e+06,65856,35449
6,15,62,14,1.00512e+06,1.65621e+06,37494,318
6,16,56,14,757803,1.65926e+06,38029,175
6,17,92,34,619503,1.64599e+06,60337,418
6,18,68,15,1.07737e+06,1.59357e+06,41337,252
6,19,52,16,602769,1.61843e+06,34029,522
6,20,62,18,865802,1.62506e+06,54629,669
6,21,61,15,1.57771e+06,1.72525e+06,46551,1525
6,22,24,6,1.1321e+06,1.49427e+06,15348,2721
6,23,63,24,693661,1.58401e+06,43800,3332
6,24,48,20,778219,1.57832e+06,63092,6481
6,25,56,13,1.69016e+06,1.63446e+06,64915,1118
6,26,34,11,780316,1.53348e+06,27735,899
6,27,104,28,1.32904e+06,1.61768e+06,108615,2009
6,28,27,8,773187,1.52859e+06,17461,199
6,29,25,9,954939,1.54309e+06,25727,6528
6,30,60,18,736837,1.65192e+06,38299,227
6,31,40,11,1.00289e+06,1.58644e+06,36561,277
7,0,21,4,751249,1.21084e+06,12160,306
7,1,37,12,716869,1.26931e+06,23885,1401
7,2,48,10,966853,1.43719e+06,38683,280
7,3,36,10,1.01854e+06,1.44039e+06,27279,2097
7,4,28,7,991334,1.65068e+06,20703,1095
7,5,32,8,980361,1.54502e+06,43735,14574
7,6,98,24,1.17898e+06,1.47657e+06,79277,42
7,7,18,2,1.36275e+06,1.4636e+06,11341,869
7,8,44,13,892301,1.40358e+06,40674,1563
7,9,16,5,1.13064e+06,1.44486e+06,14802,2652
7,10,62,19,972183,1.45814e+06,45859,2471
7,11,47,10,1.14081e+06,1.3814e+06,25595,548
7,12,40,11,959764,1.46147e+06,34217,287
7,13,54,16,1.01658e+06,1.45348e+06,68183,1017
7,14,38,10,715322,1.33932e+06,56093,28864
7,15,56,16,685509,1.40638e+06,37050,119
7,16,60,15,883524,1.43929e+06,34638,271
7,17,126,41,760813,1.4029e+06,70814,576
7,18,58,14,821823,1.40075e+06,29207,191
7,19,54,21,560801,1.39558e+06,34310,455
7,20,35,11,666225,1.41583e+06,25333,710
7,21,56,12,1.24836e+06,1.42891e+06,35425,1230
7,22,83,25,957026,1.43374e+06,57245,316
7,23,73,31,805583,1.49509e+06,52608,3475
7,24,45,18,776705,1.41171e+06,58545,6105
7,25,54,11,1.3026e+06,1.40715e+06,52569,915
7,26,64,18,917015,1.47025e+06,56342,597
7,27,102,24,1.15663e+06,1.37969e+06,89797,953
7,28,32,11,720273,1.47988e+06,20252,184
7,29,16,8,898308,1.4471e+06,25930,12151
7,30,60,16,796080,1.43656e+06,36559,315
7,31,148,59,1.16259e+06,1.38019e+06,131427,11832
8,0,19,5,915330,1.50434e+06,13159,456
8,1,50,16,936462,1.35694e+06,26178,1480
8,2,13,4,1.09926e+06,1.23702e+06,12171,2752
8,3,46,11,878930,1.15217e+06,25838,778
8,4,36,10,791751,1.24135e+06,24723,779
8,5,22,5,723630,1.19974e+06,30170,14299
8,6,97,24,986572,1.24876e+06,76997,1796
8,7,49,8,951788,1.22394e+06,27001,414
8,8,60,16,863661,1.26389e+06,37186,653
8,9,40,10,562734,1.271e+06,20187,220
8,10,59,19,990321,1.30201e+06,43943,2060
8,11,33,11,617011,1.21419e+06,18122,155
8,12,79,18,969337,1.24171e+06,60005,41
8,13,41,16,715890,1.25579e+06,51772,6030
8,14,32,11,673883,1.30492e+06,59073,27337
8,15,16,7,751051,1.2938e+06,25795,13151
8,16,81,21,780893,1.3081e+06,44746,107
8,17,126,49,828453,1.25807e+06,73658,404
8,18,46,12,800771,1.2497e+06,22973,239
8,19,54,21,488152,1.26206e+06,32882,351
8,20,41,13,606650,1.23331e+06,28432,640
8,21,70,16,1.36577e+06,1.43109e+06,47608,1378
8,22,63,17,910219,1.28428e+06,57761,1263
8,23,69,23,614876,1.2641e+06,39888,2505
8,24,58,17,1.06876e+06,1.29599e+06,71191,1132
8,25,32,4,1.48007e+06,1.39647e+06,18904,1221
8,26,59,17,883540,1.27227e+06,53494,604
8,27,45,11,957570,1.20197e+06,54546,190
8,28,31,8,871271,1.16753e+06,19795,333
8,29,29,8,906072,1.16902e+06,20250,1817
8,30,77,21,795271,1.29879e+06,43679,187
8,31,157,63,1.02032e+06,1.28594e+06,109949,10741
9,0,22,6,860795,1.29082e+06,14530,414
9,1,36,11,671979,948606,19105,1007
9,2,22,5,706550,1.15942e+06,30228,14350
9,3,49,12,982178,1.12769e+06,25878,874
9,4,29,9,611839,939620,17697,879
9,5,13,4,1.16702e+06,1.24455e+06,12361,2893
9,6,98,24,932855,1.1299e+06,71084,1704
9,7,55,11,972071,1.22562e+06,23233,628
9,8,50,12,896305,1.13349e+06,52559,185
9,9,40,10,482344,1.12897e+06,22687,116
9,10,57,19,925528,1.15342e+06,39345,1907
9,11,41,12,646002,1.1905e+06,17816,178
9,12,91,21,983155,1.17166e+06,61995,50
9,13,41,11,725456,1.13199e+06,30537,1541
9,14,35,9,572630,1.09441e+06,50520,26618
9,15,14,6,675248,1.10501e+06,23426,13821
9,16,93,22,726073,1.17333e+06,40826,91
9,17,173,64,970528,1.14491e+06,107540,9073
9,18,40,11,718102,1.13275e+06,19134,227
9,19,58,14,764689,1.12439e+06,45324,1391
9,20,90,34,688448,1.16235e+06,54110,315
9,21,63,14,1.29207e+06,1.20321e+06,39346,1436
9,22,74,21,843322,1.13414e+06,53360,192
9,23,77,31,507849,1.1283e+06,37638,505
9,24,61,17,892940,1.17843e+06,57215,1014
9,25,35,5,1.20973e+06,1.15701e+06,23039,1090
9,26,48,15,693067,1.14206e+06,30044,505
9,27,48,16,806635,1.16181e+06,59523,5514
9,28,41,9,787264,1.1549e+06,25693,265
9,29,28,7,840596,1.17137e+06,17001,2242
9,30,70,21,652716,1.10782e+06,33643,156
9,31,65,29,610885,1.13887e+06,40126,2843
10,0,28,6,623462,1.00787e+06,11858,271
10,1,25,8,505162,953660,44464,25199
10,2,16,4,631895,1.00826e+06,26907,13656
10,3,92,23,658656,1.03364e+06,37379,81
10,4,38,12,622753,1.07038e+06,20986,1064
10,5,13,4,1.09047e+06,1.17216e+06,11728,2700
10,6,92,24,915296,1.05088e+06,70231,1436
10,7,45,10,875608,1.03415e+06,20037,403
10,8,44,10,805314,949509,23730,732
10,9,38,10,644742,1.04443e+06,28981,1568
10,10,58,19,806229,1.02198e+06,37194,1918
10,11,79,26,747125,1.03546e+06,37310,402
10,12,42,11,508246,1.02144e+06,23845,110
10,13,70,19,777224,987370,48841,196
10,14,28,8,709709,1.0052e+06,19307,1595
10,15,14,6,593039,1.04094e+06,22698,13697
10,16,67,26,478441,1.01892e+06,30444,426
10,17,138,50,890071,1.01846e+06,95879,8740
10,18,41,12,709362,1.03002e+06,19185,220
10,19,56,13,667564,1.054e+06,42390,1625
10,20,88,22,900414,1.02867e+06,61316,40
10,21,54,12,1.00832e+06,1.08069e+06,29456,1299
10,22,43,12,666801,877485,18535,873
10,23,106,39,650646,1.04902e+06,52177,262
10,24,65,17,874455,1.05059e+06,51752,891
10,25,33,5,971108,1.10414e+06,22701,545
10,26,50,16,583527,1.00577e+06,28814,552
10,27,45,14,762991,1.01399e+06,51499,5278
10,28,42,10,728396,1.1055e+06,20712,246
10,29,42,8,1.01148e+06,1.07283e+06,31722,1268
10,30,34,11,498978,950853,14927,136
10,31,100,45,631066,1.01288e+06,45534,2353
11,0,42,13,646524,987365,20507,1002
11,1,50,14,632810,957853,19101,179
11,2,36,8,703271,978716,31171,7797
11,3,81,21,610115,940711,31402,135
11,4,22,6,647764,904564,10887,318
11,5,28,8,702506,941226,13470,1295
11,6,91,22,787168,940795,57821,925
11,7,29,4,635912,712530,18111,267
11,8,37,11,655884,945260,22693,1372
11,9,52,14,666442,936514,38575,1281
11,10,20,5,679103,935969,25532,17041
11,11,91,25,689139,932086,39707,307
11,12,42,9,973565,983061,36179,660
11,13,56,17,669403,927201,30183,352
11,14,13,6,701839,877475,11381,6039
11,15,21,7,373222,925359,37246,19734
11,16,71,29,490065,945090,27181,427
11,17,108,39,840575,929613,87441,8390
11,18,43,12,525530,934349,23913,100
11,19,34,12,544108,962686,39495,5631
11,20,87,24,848359,908139,59253,23
11,21,56,13,772741,889878,25076,684
11,22,14,4,922361,872885,10321,2137
11,23,133,48,567788,937199,49552,260
11,24,62,17,742452,920200,48868,962
11,25,40,7,1.05557e+06,1.12013e+06,15111,615
11,26,46,17,515313,912537,26546,561
11,27,46,12,775545,908251,44681,1063
11,28,38,8,733641,880301,16913,327
11,29,62,21,749505,917805,36094,1573
11,30,35,12,542646,982300,15432,148
11,31,93,47,559572,929031,42914,2591
12,0,30,8,650794,967553,14797,1048
12,1,55,14,542635,780629,16836,162
12,2,43,9,673410,832644,23665,1200
12,3,56,16,681946,836815,45752,995
12,4,24,7,489442,699798,10426,181
12,5,13,3,537199,670782,8097,1356
12,6,36,10,575055,825837,22170,1343
12,7,25,3,945921,973828,11438,594
12,8,30,8,650071,857029,16035,1862
12,9,88,21,574104,862932,31511,102
12,10,19,5,673929,882472,26097,14350
12,11,80,26,663828,864869,39542,280
12,12,38,8,841424,875959,26765,658
12,13,70,18,647170,855973,36300,313
12,14,18,7,525867,830756,19802,11370
12,15,31,8,517627,815822,36953,18070
12,16,60,26,438355,868473,24645,289
12,17,93,23,741849,856506,56434,741
12,18,52,14,433649,834146,19807,98
12,19,77,25,779033,865878,75547,7490
12,20,83,21,754506,822507,52057,8
12,21,61,13,689060,868784,22164,701
12,22,27,9,919579,1.02958e+06,14608,1841
12,23,127,50,594902,815700,49401,215
12,24,44,11,574564,809776,26703,1237
12,25,44,10,775563,808695,19906,707
12,26,49,16,548235,864116,25556,592
12,27,42,13,666257,873198,43544,3078
12,28,42,11,552325,818809,18091,176
12,29,127,66,527464,819516,49625,5142
12,30,31,10,389425,769504,10011,128
12,31,69,23,632049,825749,34276,1298
13,0,31,9,416774,691317,13653,784
13,1,56,15,525148,740791,16090,138
13,2,40,8,574435,729103,18639,622
13,3,14,6,485621,764496,16295,11142
13,4,22,6,599470,837296,9968,291
13,5,13,4,938765,940187,9673,2309
13,6,66,19,619021,803135,30914,332
13,7,23,5,557448,798467,24393,10673
13,8,41,11,521992,795439,19012,1171
13,9,73,17,624649,761001,35694,598
13,10,25,3,805968,862303,10283,515
13,11,74,25,574978,780864,31262,265
13,12,39,8,780902,736876,27505,538
13,13,78,20,533236,727380,27667,166
13,14,34,9,532705,725303,23128,1271
13,15,31,9,407908,734072,34818,19425
13,16,76,31,427082,774111,22247,327
13,17,82,21,649953,759545,45877,971
13,18,40,12,646467,772805,40679,3018
13,19,73,20,711178,769200,64743,6925
13,20,80,21,688241,761924,46423,9
13,21,59,12,665762,801169,19705,693
13,22,27,8,438368,622727,11452,671
13,23,46,14,435074,819231,19625,117
13,24,132,53,580979,755466,51887,291
13,25,41,11,604005,758623,18598,1055
13,26,40,14,485886,760048,19177,574
13,27,35,10,495487,740302,25921,1280
13,28,34,8,566851,684763,13881,250
13,29,138,67,520169,774496,52986,4866
13,30,37,11,439622,739100,11832,111
13,31,82,25,608104,774750,36909,980
14,0,16,4,573552,738879,7076,304
14,1,32,9,474164,701853,14212,785
14,2,45,9,541892,717971,18997,600
14,3,39,12,404013,669422,12593,81
14,4,38,12,420636,654957,13148,115
14,5,13,3,472173,580850,7079,1210
14,6,46,14,439255,682032,17711,336
14,7,16,4,436158,659547,18726,9497
14,8,84,27,600823,702724,32841,1060
14,9,66,17,595832,675939,34082,524
14,10,51,12,513142,751318,19879,779
14,11,80,27,515979,696988,34715,156
14,12,39,8,650340,676662,23906,466
14,13,83,21,484915,698533,25322,82
14,14,54,14,501632,700942,26576,1181
14,15,35,10,461942,718728,37595,17710
14,16,18,2,702595,693829,5951,461
14,17,79,19,630180,695254,40884,916
14,18,65,17,640541,689564,55441,6231
14,19,137,68,488444,697046,53838,5336
14,20,84,21,638105,702283,43469,4
14,21,59,14,577844,682046,17205,588
14,22,26,8,755248,813535,11237,1486
14,23,48,13,422961,698870,16481,151
14,24,134,52,465772,663785,42218,133
14,25,30,8,481929,673986,12204,1120
14,26,41,15,459543,702745,20982,601
14,27,45,11,604340,714472,33464,1026
14,28,43,10,554389,701352,14958,243
14,29,77,33,384759,726777,21422,266
14,30,28,11,419673,680291,27272,3016
14,31,18,7,325463,661915,17074,10149
15,0,16,4,611330,764233,7376,322
15,1,27,7,372924,586224,11661,751
15,2,46,8,493298,618877,13758,585
15,3,35,12,326314,581759,9154,89
15,4,38,12,392860,588931,12241,110
15,5,26,7,550489,667920,9463,1004
15,6,45,13,437440,608622,14897,369
15,7,22,5,405843,630230,19044,8736
15,8,94,33,519403,637125,30323,1199
15,9,56,15,506315,613716,30052,593
15,10,49,12,479332,640991,19655,699
15,11,97,29,506340,639531,31143,175
15,12,41,8,559576,600013,21182,367
15,13,75,20,442413,582719,21044,118
15,14,42,11,562702,629360,31779,856
15,15,36,9,536993,651012,27910,8827
15,16,18,2,701620,623721,5367,451
15,17,75,18,580683,625049,37166,346
15,18,63,15,584986,633051,48318,5423
15,19,127,64,478859,641706,51810,5128
15,20,86,21,562849,631372,38033,2
15,21,62,15,469290,585001,15852,264
15,22,13,3,582388,615371,6487,1529
15,23,56,16,409504,684132,18102,108
15,24,128,43,484835,645363,41934,148
15,25,26,8,369299,609176,12326,1095
15,26,38,12,436526,631078,15721,575
15,27,31,12,421262,638878,24569,2953
15,28,38,10,484051,691179,14292,221
15,29,101,46,351625,637613,23155,215
15,30,60,14,487336,662717,27524,1264
15,31,20,8,348840,653252,20607,16390
