round,source,target,count,value
1,24,21,0,0
1,24,22,0,0
1,24,23,0,0
1,24,24,3,6428
1,24,25,2,1860
1,24,26,4,9936
1,24,27,0,0
1,24,28,0,0
1,24,29,0,0
1,24,30,0,0
1,24,31,5,5285
1,25,0,4,11316
1,25,1,3,4352
1,25,2,0,0
1,25,3,5,5640
1,25,4,0,0
1,25,5,0,0
1,25,6,0,0
1,25,7,0,0
1,25,8,0,25
1,25,9,0,0
1,25,10,0,0
1,25,11,3,15
1,25,12,0,0
1,25,13,0,0
1,25,14,0,0
1,25,15,0,0
1,25,16,4,417
1,25,17,4,10629
1,25,18,3,3985
1,25,19,3,6218
1,25,20,0,0
1,25,21,0,0
1,25,22,0,0
1,25,23,0,0
1,25,24,3,1778
1,25,25,7,5784
1,25,26,3,11732
1,25,27,0,0
1,25,28,0,0
1,25,29,0,0
1,25,30,0,0
1,25,31,5,3144
1,26,0,4,2544
1,26,1,3,6444
1,26,2,0,0
1,26,3,0,2872
1,26,4,3,4344
1,26,5,0,0
1,26,6,0,0
1,26,7,0,0
1,26,8,0,963
1,26,9,0,0
1,26,10,0,0
1,26,11,4,1533
1,26,12,0,0
1,26,13,0,0
1,26,14,0,0
1,26,15,0,0
1,26,16,3,663
1,26,17,4,11706
1,26,18,3,2102
1,26,19,4,4449
1,26,20,3,0
1,26,21,2,111
1,26,22,0,0
1,26,23,4,308
1,26,24,2,3
1,26,25,8,6548
1,26,26,5,10585
1,26,27,1,6512
1,26,28,2,1889
1,26,29,2,904
1,26,30,0,0
1,26,31,4,469
1,27,0,4,467
1,27,1,4,1857
1,27,2,0,0
1,27,3,0,0
1,27,4,3,2229
1,27,5,1,60
1,27,6,0,0
1,27,7,0,0
1,27,8,0,3
1,27,9,0,0
1,27,10,0,0
1,27,11,4,2673
1,27,12,3,5785
1,27,13,1,104
1,27,14,0,0
1,27,15,0,0
1,27,16,3,724
1,27,17,3,9702
1,27,18,2,506
1,27,19,4,2432
1,27,20,4,502
1,27,21,8,2321
1,27,22,0,0
1,27,23,4,2532
1,27,24,0,0
1,27,25,7,9422
1,27,26,4,4414
1,27,27,4,4065
1,27,28,3,9284
1,27,29,3,4736
1,27,30,0,0
1,27,31,3,317
1,28,0,3,0
1,28,1,2,1581
1,28,2,0,0
1,28,3,0,0
1,28,4,5,1693
1,28,5,3,1026
1,28,6,3,57
1,28,7,2,0
1,28,8,0,0
1,28,9,0,0
1,28,10,0,0
1,28,11,2,34
1,28,12,4,7146
1,28,13,2,6811
1,28,14,0,0
1,28,15,0,95
1,28,16,2,0
1,28,17,2,351
1,28,18,0,0
1,28,19,3,20
1,28,20,4,4352
1,28,21,6,4586
1,28,22,0,0
1,28,23,3,10995
1,28,24,0,0
1,28,25,2,3847
1,28,26,3,0
1,28,27,4,826
1,28,28,5,13887
1,28,29,4,6840
1,28,30,3,204
1,28,31,2,0
1,29,0,0,0
1,29,1,0,0
1,29,2,0,0
1,29,3,0,0
1,29,4,6,1125
1,29,5,0,16
1,29,6,4,4367
1,29,7,2,1765
1,29,8,0,0
1,29,9,0,0
1,29,10,0,0
1,29,11,0,0
1,29,12,4,3842
1,29,13,4,1315
1,29,14,2,5986
1,29,15,3,4013
1,29,16,0,0
1,29,17,0,0
1,29,18,0,0
1,29,19,0,0
1,29,20,4,5881
1,29,21,7,5318
1,29,22,3,6723
1,29,23,4,9763
1,29,24,0,0
1,29,25,0,0
1,29,26,0,0
1,29,27,3,492
1,29,28,5,6189
1,29,29,4,4954
1,29,30,5,2322
1,29,31,0,0
1,30,0,0,0
1,30,1,0,0
1,30,2,0,0
1,30,3,0,0
1,30,4,7,1691
1,30,5,0,0
1,30,6,5,7710
1,30,7,2,0
1,30,8,0,0
1,30,9,0,0
1,30,10,0,0
1,30,11,0,0
1,30,12,4,1167
1,30,13,3,4
1,30,14,4,8843
1,30,15,3,5062
1,30,16,0,0
1,30,17,0,0
1,30,18,0,0
1,30,19,0,0
1,30,20,4,4870
1,30,21,7,0
1,30,22,5,13623
1,30,23,4,10340
1,30,24,0,0
1,30,25,0,0
1,30,26,0,0
1,30,27,4,537
1,30,28,5,851
1,30,29,1,795
1,30,30,7,8409
1,30,31,0,0
1,31,0,0,0
1,31,1,0,0
1,31,2,0,0
1,31,3,0,0
1,31,4,5,270
1,31,5,0,0
1,31,6,4,10752
1,31,7,0,0
1,31,8,0,0
1,31,9,0,0
1,31,10,0,0
1,31,11,0,0
1,31,12,1,159
1,31,13,0,0
1,31,14,4,6956
1,31,15,3,2274
1,31,16,0,0
1,31,17,0,0
1,31,18,0,0
1,31,19,0,0
1,31,20,3,2840
1,31,21,0,0
1,31,22,5,14107
1,31,23,4,7990
1,31,24,0,0
1,31,25,0,0
1,31,26,0,0
1,31,27,5,179
1,31,28,2,115
1,31,29,0,0
1,31,30,7,7383
1,31,31,0,0
2,0,0,50,22747
2,0,1,0,0
2,0,2,0,0
2,0,3,0,0
2,0,4,10,57356
2,0,5,0,0
2,0,6,0,0
2,0,7,0,0
2,0,8,0,0
2,0,9,0,0
2,0,10,0,0
2,0,11,0,1055
2,0,12,0,9
2,0,13,2,14
2,0,14,0,0
2,0,15,0,13
2,0,16,0,25
2,0,17,0,596
2,0,18,0,0
2,0,19,0,19
2,0,20,5,1
2,0,21,0,0
2,0,22,0,0
2,0,23,0,0
2,0,24,0,0
2,0,25,0,0
2,0,26,0,0
2,0,27,1,9732
2,0,28,0,0
