round,name,count,localCount,workload,estWorkload,npts,nfdpts
4,37,90,25,263388,978608,30503,219
4,38,86,20,579673,978057,30556,111
4,39,13,6,889700,1.11386e+06,9953,2102
4,40,75,23,503396,987559,34108,726
4,41,65,13,717427,951729,26816,374
4,42,158,52,616881,994444,85820,3985
4,43,52,12,503246,984908,24552,1039
4,44,146,38,768133,1.005e+06,79277,231
4,45,192,66,641899,998600,128701,13763
4,46,24,7,397650,968452,15724,1373
4,47,20,6,571463,1.05811e+06,17557,7655
4,48,37,9,331091,1.0094e+06,14366,97
4,49,32,8,690314,940508,14543,1507
4,50,97,28,488830,974381,53048,152
4,51,67,17,618021,1.06214e+06,30466,322
4,52,26,7,509010,1.08534e+06,9124,239
4,53,84,21,681496,997546,47595,105
4,54,20,4,552777,887872,5300,235
4,55,24,6,162744,987982,6554,657
4,56,19,7,329428,932019,10950,2957
4,57,28,7,252953,933178,18813,578
4,58,169,46,676849,980082,70991,377
4,59,51,20,282378,994816,29859,1554
4,60,22,6,255106,928430,8440,209
4,61,11,5,857488,1.17687e+06,13629,8355
4,62,54,16,322865,996151,21198,1078
4,63,36,11,235457,998470,24100,259
5,0,22,4,482766,745778,8037,231
5,1,35,5,443361,755685,12153,910
5,2,36,8,260092,752636,11664,130
5,3,163,63,391772,802103,59016,416
5,4,37,9,359351,974249,12184,113
5,5,43,12,423894,760647,19131,222
5,6,138,37,715123,712168,96046,0
5,7,24,4,618180,857638,11407,305
5,8,15,2,717486,758554,6265,423
5,9,30,6,318115,749839,8037,81
5,10,61,14,394188,848650,31553,23
5,11,22,6,297531,719709,13209,935
5,12,53,11,405555,842448,25855,304
5,13,84,18,442520,705679,37274,28
5,14,55,12,538013,810069,22245,1080
5,15,57,16,345816,782231,20186,551
5,16,39,11,306381,890615,16746,53
5,17,52,14,347655,853266,17472,311
5,18,39,11,593837,793398,16110,1413
5,19,79,23,466976,769775,39018,23
5,20,13,5,728000,852633,8336,1779
5,21,40,9,187359,727811,9271,154
5,22,66,21,343932,819216,30822,154
5,23,73,19,342853,813921,28957,50
5,24,51,11,388433,787884,28875,11155
5,25,44,12,303674,818481,14758,77
5,26,46,10,315121,780051,21360,3759
5,27,45,17,241724,771019,25197,2160
5,28,66,17,376458,804616,31459,358
5,29,108,30,450080,807403,44060,1038
5,30,24,6,169578,863104,6756,467
5,31,71,19,340850,795483,40839,9039
5,32,32,7,365669,887502,9508,168
5,33,32,8,317924,863189,15148,334
5,34,88,26,274282,820863,31938,178
5,35,57,14,364600,810097,23084,25
5,36,62,18,450406,817089,36784,340
5,37,21,5,520803,772205,13665,5385
5,38,90,20,418975,767963,26832,59
5,39,46,11,482542,794799,24519,237
5,40,77,24,550885,806150,35063,697
5,41,72,16,737423,788213,34369,525
5,42,71,26,352693,811490,37550,759
5,43,68,19,554882,827533,29537,228
5,44,67,17,396053,797950,19490,280
5,45,173,60,770854,797835,116496,549
5,46,27,6,516197,822009,9693,739
5,47,13,5,636685,905485,12539,6904
5,48,29,9,395623,837598,7774,186
5,49,31,8,417533,817566,16045,1005
5,50,95,27,432969,794952,43667,140
5,51,59,16,399299,788216,25844,228
5,52,40,11,271272,794813,16051,60
5,53,80,21,563750,788719,37690,85
5,54,20,4,589967,812313,4206,271
5,55,68,17,334201,819361,25122,916
5,56,22,9,338424,715446,10866,2620
5,57,36,11,435136,793515,37671,930
5,58,150,44,787247,815852,97298,0
5,59,59,25,287961,819512,29933,2632
5,60,24,7,280034,769990,8397,489
5,61,101,40,424624,786473,74821,18015
5,62,60,19,315479,792262,20859,1146
5,63,52,12,140162,726189,21266,63
6,0,18,3,354731,612869,4323,176
6,1,38,10,438738,801211,13004,161
