round,source,target,count,value
1,2,23,0,0
1,2,24,0,0
1,2,25,0,0
1,2,26,0,0
1,2,27,0,0
1,2,28,0,0
1,2,29,0,0
1,2,30,0,0
1,2,31,0,0
1,2,32,0,0
1,2,33,2,193
1,2,34,0,0
1,2,35,1,69
1,2,36,0,0
1,2,37,0,0
1,2,38,3,414
1,2,39,0,0
1,2,40,0,0
1,2,41,0,0
1,2,42,0,0
1,2,43,0,0
1,2,44,0,0
1,2,45,0,0
1,2,46,0,0
1,2,47,0,0
1,2,48,3,828
1,2,49,0,0
1,2,50,0,0
1,2,51,0,0
1,2,52,3,818
1,2,53,3,555
1,2,54,0,0
1,2,55,1,4
1,2,56,0,0
1,2,57,0,0
1,2,58,0,0
1,2,59,0,0
1,2,60,0,0
1,2,61,0,0
1,2,62,0,0
1,2,63,4,29
1,3,0,1,1403
1,3,1,3,6026
1,3,2,4,209
1,3,3,4,5506
1,3,4,3,450
1,3,5,2,3296
1,3,6,4,3908
1,3,7,2,0
1,3,8,0,0
1,3,9,0,0
1,3,10,0,0
1,3,11,0,0
1,3,12,0,0
1,3,13,0,0
1,3,14,0,0
1,3,15,0,0
1,3,16,1,124
1,3,17,0,1448
1,3,18,0,170
1,3,19,3,2356
1,3,20,4,1086
1,3,21,2,1234
1,3,22,4,3148
1,3,23,0,0
1,3,24,0,0
1,3,25,0,0
1,3,26,0,0
1,3,27,0,0
1,3,28,0,0
1,3,29,0,0
1,3,30,0,0
1,3,31,0,0
1,3,32,0,0
1,3,33,0,0
1,3,34,0,0
1,3,35,3,690
1,3,36,0,26
1,3,37,0,0
1,3,38,2,37
1,3,39,0,0
1,3,40,0,0
1,3,41,0,0
1,3,42,0,0
1,3,43,0,0
1,3,44,0,0
1,3,45,0,0
1,3,46,0,0
1,3,47,0,0
1,3,48,2,205
1,3,49,0,0
1,3,50,0,0
1,3,51,0,0
1,3,52,3,194
1,3,53,3,969
1,3,54,0,0
1,3,55,2,11
1,3,56,0,0
1,3,57,0,0
1,3,58,0,0
1,3,59,0,0
1,3,60,0,0
1,3,61,0,0
1,3,62,0,0
1,3,63,0,0
1,4,0,0,0
1,4,1,1,3081
1,4,2,2,0
1,4,3,4,5214
1,4,4,4,3372
1,4,5,2,2713
1,4,6,4,4625
1,4,7,0,0
1,4,8,0,0
1,4,9,0,0
1,4,10,0,0
1,4,11,0,0
1,4,12,0,0
1,4,13,0,0
1,4,14,0,0
1,4,15,0,0
1,4,16,1,0
1,4,17,0,0
1,4,18,0,0
1,4,19,4,3873
1,4,20,4,3199
1,4,21,2,2172
1,4,22,4,2842
1,4,23,0,0
1,4,24,0,0
1,4,25,0,0
1,4,26,0,0
1,4,27,0,0
1,4,28,0,0
1,4,29,0,0
1,4,30,0,0
1,4,31,0,0
1,4,32,0,0
1,4,33,0,0
1,4,34,0,0
1,4,35,3,187
1,4,36,0,56
1,4,37,0,0
1,4,38,2,24
1,4,39,0,0
1,4,40,0,0
1,4,41,0,0
1,4,42,0,0
1,4,43,0,0
1,4,44,0,0
1,4,45,0,0
1,4,46,0,0
1,4,47,0,0
1,4,48,0,0
1,4,49,0,0
1,4,50,0,0
1,4,51,0,0
1,4,52,2,0
1,4,53,3,1199
1,4,54,0,0
1,4,55,2,0
1,4,56,0,0
1,4,57,0,0
1,4,58,0,0
1,4,59,0,0
1,4,60,0,0
1,4,61,0,0
1,4,62,0,0
1,4,63,0,0
1,5,0,0,0
