round,source,target,blockid,isLocal,count
1,13,44,869,0,4
1,13,45,837,0,7
1,13,45,838,0,7
1,13,45,839,0,7
1,13,45,868,0,7
1,13,45,869,0,7
1,13,45,870,0,7
1,13,45,871,0,7
1,13,47,864,0,2
1,13,47,865,0,2
1,13,56,869,0,2
1,13,56,870,0,2
1,13,58,866,0,5
1,13,58,867,1,5
1,13,58,868,1,5
1,13,58,869,0,5
1,13,58,870,0,5
1,13,60,834,0,4
1,13,60,865,0,4
1,13,60,866,0,4
1,13,60,867,0,4
1,14,11,898,0,5
1,14,11,899,1,5
1,14,11,900,1,5
1,14,11,901,0,5
1,14,11,902,0,5
1,14,13,932,0,4
1,14,13,933,1,4
1,14,13,934,1,4
1,14,13,935,1,4
1,14,14,900,0,4
1,14,14,901,1,4
1,14,14,902,1,4
1,14,14,903,1,4
1,14,15,896,1,2
1,14,15,897,1,2
1,14,28,897,0,4
1,14,28,898,1,4
1,14,28,899,0,4
1,14,28,900,0,4
1,14,29,928,1,2
1,14,29,929,0,2
1,14,31,928,0,4
1,14,31,929,1,4
1,14,31,930,1,4
1,14,31,931,0,4
1,14,44,900,0,3
1,14,44,901,0,3
1,14,44,932,0,3
1,14,45,901,0,6
1,14,45,902,0,6
1,14,45,932,0,6
1,14,45,933,0,6
1,14,45,934,0,6
1,14,45,935,0,6
1,14,47,928,0,2
1,14,47,929,0,2
1,14,58,930,0,4
1,14,58,931,1,4
1,14,58,932,1,4
1,14,58,933,0,4
1,14,60,897,0,5
1,14,60,898,0,5
1,14,60,929,0,5
1,14,60,930,0,5
1,14,60,931,0,5
1,14,62,930,0,2
1,14,62,931,0,2
1,15,11,962,0,5
1,15,11,963,1,5
1,15,11,964,1,5
1,15,11,965,1,5
1,15,11,966,0,5
1,15,13,996,0,4
1,15,13,997,1,4
1,15,13,998,1,4
1,15,13,999,1,4
1,15,14,964,0,4
1,15,14,965,0,4
1,15,14,966,1,4
1,15,14,967,1,4
1,15,15,960,1,2
1,15,15,961,1,2
1,15,28,961,0,3
1,15,28,962,1,3
1,15,28,963,0,3
1,15,29,992,1,2
1,15,29,993,0,2
1,15,31,992,0,4
1,15,31,993,1,4
1,15,31,994,1,4
1,15,31,995,0,4
1,15,44,964,0,3
1,15,44,995,0,3
1,15,44,996,0,3
1,15,45,996,0,4
1,15,45,997,0,4
1,15,45,998,0,4
1,15,45,999,0,4
1,15,47,992,0,2
1,15,47,993,0,2
1,15,58,994,0,3
1,15,58,995,1,3
1,15,58,996,1,3
1,15,60,961,0,5
1,15,60,962,0,5
1,15,60,993,0,5
1,15,60,994,0,5
1,15,60,995,0,5
1,15,62,994,0,2
1,15,62,995,0,2
1,16,0,9,1,3
1,16,0,10,1,3
1,16,0,11,0,3
1,16,1,13,0,3
1,16,1,14,0,3
1,16,1,15,0,3
1,16,2,44,0,4
1,16,2,45,0,4
1,16,2,46,1,4
1,16,2,47,1,4
1,16,7,41,0,2
1,16,7,42,0,2
1,16,16,40,1,2
1,16,16,41,0,2
1,16,17,10,0,5
1,16,17,11,0,5
1,16,17,12,1,5
1,16,17,13,1,5
1,16,17,14,0,5
1,16,18,8,1,3
1,16,18,9,0,3
1,16,18,10,0,3
1,16,30,40,0,1
1,16,32,10,0,4
1,16,32,11,1,4
1,16,32,12,0,4
1,16,32,13,0,4
1,16,33,13,0,3
1,16,33,14,1,3
1,16,33,15,1,3
1,16,34,45,0,3
1,16,34,46,0,3
1,16,34,47,0,3
1,16,48,40,0,1
1,16,49,42,0,3
1,16,49,43,0,3
1,16,49,44,0,3
1,16,50,41,0,3
1,16,50,42,0,3
1,16,50,43,0,3
1,16,52,40,0,4
1,16,52,41,1,4
1,16,52,42,1,4
1,16,52,43,0,4
1,16,63,42,0,4
1,16,63,43,1,4
1,16,63,44,1,4
1,16,63,45,1,4
1,17,0,73,0,3
1,17,0,74,1,3
1,17,0,75,0,3
1,17,1,76,0,4
1,17,1,77,0,4
1,17,1,78,0,4
1,17,1,79,0,4
1,17,2,108,0,4
1,17,2,109,1,4
1,17,2,110,1,4
